03:01:02:301 [ALWAYS]	GUDE Logging Started
03:01:02:301 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:01:02:301 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:01:02:301 [ERROR]	Initialize resume cache pointer failure
03:01:02:302 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
03:01:02:303 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
03:01:05:486 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
03:01:05:486 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:01:05:486 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:01:05:487 [ERROR]	Initialize resume cache pointer failure
03:01:05:487 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
03:01:05:487 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
